,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,date,coin
1,1609545600,33257.29,29036.26,29388.94,119214.75,3750440817.91,32203.64,direct,,2021-01-01,BTC
365,1640995200,46727.17,46196.03,46197.31,1522.23,70745214.97,46710.49,direct,,2021-12-31,BTC
1,1609545600,788.27,716.71,730.6,904953.39,688632713.33,774.9,direct,,2021-01-01,ETH
365,1640995200,3727.96,3675.65,3675.79,15234.71,56459157.57,3722.66,direct,,2021-12-31,ETH
1,1609545600,41.48,36.81,37.76,900235.92,34470148.57,38.29,multiply,BTC,2021-01-01,BNB
365,1640995200,518.18,511.36,511.71,6048.8,3111832.18,518.02,direct,,2021-12-31,BNB
1,1609545600,1.034,0.9024,1.002,119214.75,119318.72,1.001,invert_divide,BTC,2021-01-01,USDT
365,1640995200,1.0,0.9999,1.0,8257636.6,8257209.69,1.0,direct,,2021-12-31,USDT
1,1609545600,2.012,1.752,1.847,1060347.35,1907901.86,1.799,multiply,ETH,2021-01-01,SOL
365,1640995200,172.79,169.9,169.93,103886.19,17830254.87,172.63,direct,,2021-12-31,SOL
1,1609545600,0.1847,0.1689,0.1755,83287104.58,14807147.65,0.1772,direct,,2021-01-01,ADA
365,1640995200,1.334,1.308,1.309,4076585.27,5385322.77,1.329,direct,,2021-12-31,ADA
1,1609545600,1.032,0.9013,0.9999,119214.75,119174.49,0.9997,invert_divide,BTC,2021-01-01,USDC
365,1640995200,1.0,1.0,1.0,280461.69,280482.72,1.0,direct,,2021-12-31,USDC
1,1609545600,0.2387,0.2117,0.2379,563620216.37,127336480.83,0.2212,direct,,2021-01-01,XRP
365,1640995200,0.8398,0.8292,0.8292,1686611.54,1409378.85,0.838,direct,,2021-12-31,XRP
1,1609545600,0.7127,0.6106,0.6486,7529318.57,4747591.28,0.6305,multiply,BTC,2021-01-01,LUNA
365,1640995200,87.08,85.48,85.48,27682.75,2385007.24,86.93,direct,,2021-12-31,LUNA
1,1609545600,9.831,7.918,8.294,4307596.99,38331200.26,9.218,direct,,2021-01-01,DOT
365,1640995200,27.29,26.62,26.64,188854.19,5107366.05,27.23,direct,,2021-12-31,DOT
1,1609545600,4.328,3.23,3.659,962335.82,3365591.79,3.497,multiply,BTC,2021-01-01,AVAX
365,1640995200,112.0,109.4,109.42,49129.47,5449368.11,111.6,direct,,2021-12-31,AVAX
1,1609545600,0.01408,0.005597,0.005699,3708310837.38,34174268.9,0.01058,direct,,2021-01-01,DOGE
365,1640995200,0.1721,0.17,0.1703,7631021.11,1306475.57,0.1718,direct,,2021-12-31,DOGE
365,1640995200,3.39e-05,3.331e-05,3.331e-05,219577086623.92,7378525.5,3.389e-05,direct,,2021-12-31,SHIB
1,1609545600,0.01939,0.01716,0.01781,1149537.08,21309.78,0.01861,direct,,2021-01-01,MATIC
365,1640995200,2.592,2.524,2.526,1830361.17,4697489.84,2.576,direct,,2021-12-31,MATIC
1,1609545600,1.033,0.9015,0.9994,119214.75,119198.98,0.9999,invert_divide,BTC,2021-01-01,BUSD
365,1640995200,1.0,0.9999,0.9999,268758.65,268749.64,0.9999,direct,,2021-12-31,BUSD
1,1609545600,0.07108,0.05763,0.05965,31844065.29,2013000.81,0.06123,direct,,2021-01-01,CRO
365,1640995200,0.5648,0.556,0.5563,2585954.9,1448695.38,0.5648,direct,,2021-12-31,CRO
1,1609545600,33466.84,29049.98,29407.38,338.83,10655295.95,32200.05,direct,,2021-01-01,WBTC
365,1640995200,46935.02,46092.65,46278.2,6.265,292560.02,46694.7,multiply,ETH,2021-12-31,WBTC
1,1609545600,5.187,4.495,4.753,8306781.02,39914920.46,4.862,direct,,2021-01-01,UNI
365,1640995200,17.23,16.99,17.01,66765.5,1144061.77,17.22,direct,,2021-12-31,UNI
1,1609545600,0.4641,0.3822,0.399,128138515.93,54319279.86,0.4081,direct,,2021-01-01,ALGO
365,1640995200,1.692,1.658,1.659,2086876.42,3501712.97,1.683,direct,,2021-12-31,ALGO
1,1609545600,141.72,123.65,126.49,1847853.21,246193745.33,136.99,direct,,2021-01-01,LTC
365,1640995200,149.49,146.15,146.16,22909.64,3379198.74,148.81,direct,,2021-12-31,LTC
1,1609545600,1.105,0.9725,1.008,261373.27,263457.44,1.008,multiply,BTC,2021-01-01,UST
365,1640995200,1.002,1.001,1.001,260662.11,261011.0,1.002,direct,,2021-12-31,UST
1,1609545600,12.43,11.47,11.88,5499382.52,65755947.09,12.23,direct,,2021-01-01,LINK
365,1640995200,20.08,19.51,19.51,320180.88,6347087.35,20.08,direct,,2021-12-31,LINK
1,1609545600,1.006,0.9985,1.005,12156024.67,12182999.4,0.9999,direct,,2021-01-01,DAI
365,1640995200,1.0,0.9998,0.9998,570332.19,570290.87,0.9999,direct,,2021-12-31,DAI
1,1609545600,1.52,1.356,1.358,1177565.34,1660978.79,1.411,multiply,BTC,2021-01-01,NEAR
365,1640995200,14.79,14.6,14.6,194.42,2868.63,14.71,direct,,2021-12-31,NEAR
1,1609545600,380.97,349.41,342.38,374680.99,132847669.8,354.56,multiply,BTC,2021-01-01,BCH
365,1640995200,435.32,430.27,430.54,2004.11,868649.37,434.74,direct,,2021-12-31,BCH
1,1609545600,0.02787,0.02657,0.0269,51757958.47,1396961.91,0.02723,direct,,2021-01-01,TRX
365,1640995200,0.07593,0.07526,0.07539,3822038.15,288914.68,0.07581,direct,,2021-12-31,TRX
1,1609545600,5.895,5.249,5.88,2165216.94,12002274.93,5.412,direct,,2021-01-01,ATOM
365,1640995200,33.71,32.39,32.47,136660.92,4184697.98,33.69,direct,,2021-12-31,ATOM
1,1609545600,0.1349,0.127,0.1324,237134488.88,30833329.5,0.1276,direct,,2021-01-01,XLM
365,1640995200,0.2699,0.2662,0.2665,9594933.59,2575867.8,0.2696,direct,,2021-12-31,XLM
1,1609545600,0.08337,0.07764,0.08337,1252234.59,99546.03,0.07944,direct,,2021-01-01,MANA
365,1640995200,3.322,3.261,3.268,1023966.18,3364435.03,3.313,direct,,2021-12-31,MANA
1,1609545600,0.6901,0.5314,0.5925,2609237.0,1407451.06,0.5394,multiply,BTC,2021-01-01,AXS
365,1640995200,94.56,93.19,93.25,8087.44,760052.22,94.51,direct,,2021-12-31,AXS
1,1609545600,0.04283,0.03671,0.03703,22282959.15,846759.03,0.038,multiply,BTC,2021-01-01,SAND
365,1640995200,5.993,5.835,5.835,34034.25,200842.36,5.988,direct,,2021-12-31,SAND
1,1609545600,0.03437,0.03175,0.03302,5369769.96,175405.57,0.03322,direct,,2021-01-01,HBAR
365,1640995200,0.2945,0.2887,0.2901,4294110.42,1251035.44,0.2945,direct,,2021-12-31,HBAR
1,1609545600,6.298,5.741,5.825,1225079.29,7470250.11,6.195,direct,,2021-01-01,FTT
365,1640995200,38.85,38.25,38.26,27152.97,1046565.09,38.84,direct,,2021-12-31,FTT
1,1609545600,0.0212,0.0185,0.0192,168524204.1,3352182.98,0.02,direct,,2021-01-01,VET
365,1640995200,0.08469,0.0827,0.0827,9323225.76,782912.36,0.08469,direct,,2021-12-31,VET
1,1609545600,0.0184,0.01641,0.0173,1456948.89,24205.54,0.01661,multiply,ETH,2021-01-01,FTM
365,1640995200,2.333,2.249,2.253,818413.14,1882119.23,2.323,direct,,2021-12-31,FTM
1,1609545600,23.22,21.38,22.27,218147.91,4845367.89,21.77,direct,,2021-01-01,FIL
365,1640995200,34.7,34.23,34.26,29355.25,1014648.96,34.65,direct,,2021-12-31,FIL
1,1609545600,28.83,25.32,26.22,394768.61,10320402.2,26.14,multiply,BTC,2021-01-01,EGLD
365,1640995200,244.28,238.6,238.6,563.14,136763.27,244.28,direct,,2021-12-31,EGLD
365,1640995200,25.11,24.41,24.44,55278.16,1368450.67,25.1,direct,,2021-12-31,ICP
1,1609545600,2.511,2.066,1.974,1770421.09,4261119.23,2.407,multiply,ETH,2021-01-01,THETA
365,1640995200,4.805,4.703,4.703,88531.71,425295.8,4.804,multiply,BTC,2021-12-31,THETA
1,1609545600,5.965,5.599,5.714,540329.37,3135208.72,5.795,direct,,2021-01-01,ETC
365,1640995200,34.53,34.05,34.08,10976.75,376999.22,34.52,direct,,2021-12-31,ETC
1,1609545600,150.71,137.28,135.95,744752.23,106871512.93,143.5,multiply,BTC,2021-01-01,XMR
365,1640995200,233.61,228.68,228.71,2037.95,471555.53,232.86,direct,,2021-12-31,XMR
1,1609545600,0.2964,0.2795,0.2903,2072263.16,594792.33,0.2864,direct,,2021-01-01,MIOTA
365,1640995200,1.385,1.365,1.365,70230.57,96529.04,1.378,direct,,2021-12-31,MIOTA
1,1609545600,1.52,1.278,1.355,145011.66,187263.12,1.291,multiply,BTC,2021-01-01,HNT
365,1640995200,39.0,37.75,37.75,11218.69,431860.39,38.76,direct,,2021-12-31,HNT
1,1609545600,2.059,1.95,2.011,6158999.77,12348039.84,1.999,direct,,2021-01-01,XTZ
365,1640995200,4.439,4.335,4.342,377052.4,1656876.65,4.427,direct,,2021-12-31,XTZ
1,1609545600,1.395,1.382,1.394,374639.63,522339.39,1.395,direct,,2021-01-01,LEO
365,1640995200,3.772,3.761,3.761,1957.58,7377.93,3.77,direct,,2021-12-31,LEO
1,1609545600,101.06,83.28,90.87,187630.08,16121047.29,85.92,multiply,BTC,2021-01-01,AAVE
365,1640995200,263.02,253.72,254.01,8516.6,2201764.25,262.9,direct,,2021-12-31,AAVE
1,1609545600,0.55,0.4544,0.4976,1135707.19,551900.23,0.486,multiply,BTC,2021-01-01,KLAY
365,1640995200,1.302,1.276,1.276,26608.17,34446.12,1.295,multiply,BTC,2021-12-31,KLAY
365,1640995200,0.4583,0.4501,0.4507,3539837.0,1606482.88,0.4581,direct,,2021-12-31,GALA
1,1609545600,0.3629,0.3108,0.3629,86929135.69,29450001.12,0.3272,direct,,2021-01-01,GRT
365,1640995200,0.6598,0.6413,0.6423,1386385.72,903979.09,0.659,direct,,2021-12-31,GRT
365,1640995200,11.9,11.71,11.73,9257.9,109948.53,11.88,multiply,BTC,2021-12-31,CAKE
1,1609545600,2.724,2.565,2.64,6161474.96,16170704.18,2.632,direct,,2021-01-01,EOS
365,1640995200,3.078,3.032,3.032,241515.38,736862.9,3.077,direct,,2021-12-31,EOS
365,1640995200,2.254,2.165,2.17,4639.05,10373.14,2.25,direct,,2021-12-31,STX
365,1640995200,8.872,8.797,8.815,6148.88,54329.29,8.859,direct,,2021-12-31,FLOW
1,1609545600,0.0003544,0.0002904,0.0002923,106322833.04,34668.66,0.0003411,direct,,2021-01-01,BTT
365,1640995200,0.002766,0.002711,0.002711,40390485.35,110953.66,0.002748,direct,,2021-12-31,BTT
1,1609545600,0.18,0.1701,0.176,7688525.69,1350045.35,0.1756,direct,,2021-01-01,LRC
365,1640995200,2.12,2.084,2.088,824646.1,1736889.56,2.104,direct,,2021-12-31,LRC
1,1609545600,0.0049,0.0041,0.0043,19752311.8,85889.35,0.0044,direct,,2021-01-01,ONE
365,1640995200,0.2399,0.2334,0.2334,1249404.0,296016.15,0.2399,direct,,2021-12-31,ONE
1,1609545600,76.61,67.66,69.65,119883.69,8300486.07,69.24,multiply,BTC,2021-01-01,KSM
365,1640995200,281.26,276.24,277.3,576.36,160413.59,280.23,direct,,2021-12-31,KSM
1,1609545600,617.75,569.83,582.36,7055.52,4239536.44,610.72,direct,,2021-01-01,MKR
365,1640995200,2358.16,2332.12,2332.15,218.83,513611.65,2346.8,direct,,2021-12-31,MKR
1,1609545600,179.21,160.37,162.96,220239.99,35937846.22,163.18,multiply,BTC,2021-01-01,BSV
365,1640995200,122.13,120.98,121.1,29.49,3587.27,121.85,direct,,2021-12-31,BSV
1,1609545600,0.624,0.567,0.624,1090044.54,650317.54,0.616,direct,,2021-01-01,CRV
365,1640995200,5.662,5.321,5.322,545969.39,3004386.47,5.647,direct,,2021-12-31,CRV
1,1609545600,0.1351,0.1261,0.1351,771360.65,101386.79,0.1299,direct,,2021-01-01,ENJ
365,1640995200,2.626,2.572,2.573,194035.75,504928.34,2.611,direct,,2021-12-31,ENJ
1,1609545600,13.52,6.975,11.2,34322.47,389621.23,11.35,multiply,BTC,2021-01-01,QNT
365,1640995200,179.63,178.45,179.22,677.01,121216.78,179.46,direct,,2021-12-31,QNT
1,1609545600,0.007407,0.006119,0.006172,61068.25,373.66,0.006119,multiply,BTC,2021-01-01,AMP
365,1640995200,0.0488,0.0482,0.0483,7634329.4,373337.93,0.0487,direct,,2021-12-31,AMP
1,1609545600,13.3,12.9,13.15,389.8,5085.65,12.9,direct,,2021-01-01,XEC
365,1640995200,0.0001074,0.0001069,0.000107,108307.99,11.61,0.0001072,direct,,2021-12-31,XEC
1,1609545600,0.1675,0.1417,0.1464,148283.13,22157.19,0.1494,multiply,BTC,2021-01-01,KDA
365,1640995200,12.68,12.36,12.38,332.9,4215.22,12.66,multiply,BTC,2021-12-31,KDA
1,1609545600,64.28,56.36,56.81,681860.09,39195702.71,57.48,multiply,BTC,2021-01-01,ZEC
365,1640995200,148.52,146.48,146.52,1260.65,185709.32,148.22,direct,,2021-12-31,ZEC
1,1609545600,2.907,2.637,2.632,26081.82,69888.95,2.68,multiply,ETH,2021-01-01,AR
365,1640995200,62.12,58.99,58.99,2140.45,132461.92,61.89,multiply,BTC,2021-12-31,AR
1,1609545600,16.06,13.98,14.49,1522675.51,21987605.17,14.44,multiply,BTC,2021-01-01,NEO
365,1640995200,26.02,25.66,25.66,2071.62,53372.8,26.02,direct,,2021-12-31,NEO
1,1609545600,0.2091,0.199,0.2047,4261598.04,872014.47,0.2029,direct,,2021-01-01,BAT
365,1640995200,1.26,1.204,1.205,1128319.57,1388791.27,1.26,direct,,2021-12-31,BAT
1,1609545600,1.494,1.411,1.461,1101637.67,1587889.65,1.444,direct,,2021-01-01,CELO
365,1640995200,5.03,4.87,4.87,44059.5,218874.75,5.03,direct,,2021-12-31,CELO
1,1609545600,10.49,8.08,9.222,1906544.88,15902000.4,8.341,multiply,BTC,2021-01-01,OKB
365,1640995200,29.29,28.75,28.81,12678.25,370764.43,29.24,multiply,BTC,2021-12-31,OKB
1,1609545600,1.473,1.292,1.29,2858555.0,3696043.43,1.293,multiply,BTC,2021-01-01,RUNE
365,1640995200,6.985,6.79,6.801,15122.3,104524.28,6.971,direct,,2021-12-31,RUNE
1,1609545600,0.02086,0.019,0.02086,167236.22,3240.04,0.01921,direct,,2021-01-01,CHZ
365,1640995200,0.2888,0.2833,0.2833,845949.27,241576.08,0.2888,direct,,2021-12-31,CHZ
1,1609545600,0.7425,0.6542,0.6873,198678.55,135465.89,0.6818,multiply,ETH,2021-01-01,KCS
365,1640995200,21.76,21.35,21.43,1369.42,29750.93,21.73,multiply,BTC,2021-12-31,KCS
1,1609545600,5.983,5.438,5.983,466836.13,2653103.12,5.593,direct,,2021-01-01,WAVES
365,1640995200,14.79,14.53,14.53,7417.07,108632.37,14.76,direct,,2021-12-31,WAVES
1,1609545600,5.705,4.757,5.184,1082976.97,5260098.42,4.857,multiply,ETH,2021-01-01,HT
365,1640995200,9.446,9.362,9.378,4244.3,39956.53,9.425,direct,,2021-12-31,HT
1,1609545600,98.16,86.89,88.31,468865.27,40782853.75,86.98,multiply,BTC,2021-01-01,DASH
365,1640995200,135.86,133.63,133.73,1428.62,192723.59,135.78,direct,,2021-12-31,DASH
1,1609545600,0.04734,0.03864,0.04232,13287235.0,543429.61,0.0409,multiply,BTC,2021-01-01,ROSE
365,1640995200,0.4436,0.429,0.429,61132.8,26572.34,0.44,direct,,2021-12-31,ROSE
1,1609545600,0.6765,0.5671,0.581,3772710.56,2463026.35,0.6529,multiply,ETH,2021-01-01,NEXO
365,1640995200,2.431,2.387,2.398,4088.76,9899.96,2.421,multiply,BTC,2021-12-31,NEXO
1,1609545600,1.033,0.9019,0.9998,119214.75,119242.45,1.0,invert_divide,BTC,2021-01-01,TUSD
365,1640995200,0.9976,0.9976,0.9976,312429.42,312250.9,0.9994,invert_divide,ETH,2021-12-31,TUSD
1,1609545600,0.000834,0.000602,0.000604,19426303.6,14679.28,0.000798,direct,,2021-01-01,HOT
365,1640995200,0.007456,0.007278,0.007315,1304401.0,9718.1,0.00745,multiply,ETH,2021-12-31,HOT
1,1609545600,147.89,134.89,145.91,35004.24,4968694.47,136.69,direct,,2021-01-01,COMP
365,1640995200,203.57,199.72,199.87,2088.11,421720.0,203.49,direct,,2021-12-31,COMP
1,1609545600,3.366,3.024,3.337,385594.0,1228495.16,3.194,direct,,2021-01-01,SUSHI
365,1640995200,9.496,9.257,9.433,448284.01,4219183.08,9.395,direct,,2021-12-31,SUSHI
365,1640995200,3.59,3.54,3.54,148.09,528.06,3.59,direct,,2021-12-31,MINA
1,1609545600,0.007338,0.006331,0.006634,28405388.87,187756.69,0.00661,multiply,ETH,2021-01-01,IOTX
365,1640995200,0.1489,0.1478,0.148,1011598.0,150059.57,0.1488,direct,,2021-12-31,IOTX
365,1640995200,0.1008,0.09862,0.09888,39456.84,3956.74,0.1003,multiply,ETH,2021-12-31,XDC
1,1609545600,0.2269,0.2008,0.2249,96423.04,20523.53,0.203,direct,,2021-01-01,XEM
365,1640995200,0.1248,0.1224,0.1229,857726.12,106601.71,0.1243,multiply,BTC,2021-12-31,XEM
1,1609545600,6.19,5.793,5.493,861433.54,5173751.63,6.006,multiply,BTC,2021-01-01,CEL
365,1640995200,4.411,4.383,4.385,2755.06,12135.39,4.403,direct,,2021-12-31,CEL
1,1609545600,22369.61,21346.49,21891.29,925.6,20190037.87,21503.19,direct,,2021-01-01,YFI
365,1640995200,33620.5,33026.81,33045.07,65.11,2175794.28,33405.15,direct,,2021-12-31,YFI
1,1609545600,78.65,74.39,72.33,1804.59,136887.1,75.85,multiply,ETH,2021-01-01,GNO
365,1640995200,537.0,530.0,530.28,65.15,34891.66,533.98,direct,,2021-12-31,GNO
365,1640995200,2.422,2.39,2.39,143137.1,344599.01,2.422,direct,,2021-12-31,1INCH
1,1609545600,0.03939,0.03358,0.03398,573421.37,21479.6,0.03746,multiply,ETH,2021-01-01,TFUEL
365,1640995200,0.1982,0.1913,0.1913,955877.0,187215.91,0.1959,multiply,BTC,2021-12-31,TFUEL
1,1609545600,0.01336,0.0121,0.01309,6481408.37,83174.63,0.01287,direct,,2021-01-01,RVN
365,1640995200,0.1029,0.09842,0.09842,5824711.85,585534.71,0.1028,direct,,2021-12-31,RVN
1,1609545600,48.47,43.93,40.94,122488.41,5613126.89,45.83,multiply,BTC,2021-01-01,DCR
365,1640995200,70.82,69.48,69.76,247.85,17544.5,70.79,multiply,BTC,2021-12-31,DCR
1,1609545600,0.08155,0.07111,0.0794,35426703.61,2731420.74,0.0728,direct,,2021-01-01,ZIL
365,1640995200,0.07599,0.07451,0.07461,633135.02,47707.91,0.0757,direct,,2021-12-31,ZIL
1,1609545600,1.014,0.9614,1.0,88160.46,87930.52,0.9974,invert_divide,BNB,2021-01-01,USDP
365,1640995200,0.9988,0.9987,0.9987,29919.44,29903.17,0.9995,invert_divide,BTC,2021-12-31,USDP
1,1609545600,2.305,2.197,2.269,148320.79,333685.97,2.23,direct,,2021-01-01,QTUM
365,1640995200,8.849,8.729,8.729,2311.66,20283.68,8.839,direct,,2021-12-31,QTUM
1,1609545600,0.4596,0.4266,0.4485,536484.79,238546.58,0.4317,direct,,2021-01-01,ICX
365,1640995200,1.238,1.22,1.223,99806.85,122566.11,1.237,direct,,2021-12-31,ICX
1,1609545600,1.584,1.413,1.446,3081.82,4446.21,1.443,multiply,BTC,2021-01-01,LPT
365,1640995200,40.61,39.56,39.69,2755.23,110686.37,40.52,direct,,2021-12-31,LPT
1,1609545600,0.1816,0.144,0.1658,3984398.2,618464.44,0.1552,multiply,BTC,2021-01-01,VGX
365,1640995200,3.019,2.934,2.968,22214.4,66813.06,3.008,multiply,BTC,2021-12-31,VGX
365,1640995200,1.617,1.601,1.601,9206.61,14829.33,1.612,direct,,2021-12-31,AUDIO
1,1609545600,0.03897,0.0277,0.0291,58438.93,1787.85,0.03059,multiply,BTC,2021-01-01,BORA
365,1640995200,1.023,0.9895,0.9932,1816.46,1817.97,1.001,multiply,BTC,2021-12-31,BORA
1,1609545600,0.03781,0.0343,0.03644,1466455.05,53339.06,0.03602,direct,,2021-01-01,WAXP
365,1640995200,0.4527,0.4504,0.4504,27680.74,12493.42,0.4512,direct,,2021-12-31,WAXP
1,1609545600,2.74,2.467,2.549,4373297.51,11252370.58,2.543,direct,,2021-01-01,OMG
365,1640995200,5.967,5.869,5.875,124216.25,736553.91,5.965,direct,,2021-12-31,OMG
1,1609545600,0.009369,0.008377,0.008833,58632.49,491.14,0.008377,multiply,ETH,2021-01-01,ANKR
365,1640995200,0.1025,0.1002,0.1002,4045786.6,412117.74,0.1024,direct,,2021-12-31,ANKR
